"","date","temperature","humidity","wind_speed","visibility","rosee","solar","pluie","neige","Seasons","Holiday","Functioning.Day","n"
"1",2017-12-01,-2.45416666666667,45.875,1.5375,1870.75,-13.5458333333333,0.24875,0,0,"Winter","No Holiday","Yes",9587
"2",2017-12-02,NA,61.9583333333333,1.7125,1471.08333333333,-5.71666666666667,0.26375,0,0,"Winter","No Holiday","Yes",8571
"3",2017-12-03,4.875,NA,1.6125,455.75,NA,0.125416666666667,0.166666666666667,0,"Winter","No Holiday","Yes",7270
"4",2017-12-04,-0.304166666666667,52.5,3.45,1362.83333333333,NA,NA,0.00416666666666667,0,"Winter","No Holiday","Yes",8777
"5",2017-12-05,-4.45833333333333,36.4166666666667,1.10833333333333,NA,-17.425,NA,0,0,"Winter","No Holiday","Yes",8355
"6",2017-12-06,0.0458333333333333,NA,NA,1186.875,-5.1875,NA,NA,NA,"Winter","No Holiday","Yes",6717
"7",2017-12-07,1.09166666666667,NA,1.69166666666667,949.416666666667,-5.0125,0.24375,0,0.433333333333333,"Winter","No Holiday","Yes",8597
"8",2017-12-08,-3.825,41.75,1.85,1872.20833333333,-15.3666666666667,0.287083333333333,0,0,"Winter","No Holiday","Yes",8080
"9",2017-12-09,-0.845833333333333,46,1.07916666666667,1860.95833333333,-11.2333333333333,0.263333333333333,0,0,"Winter","No Holiday","Yes",7281
"10",2017-12-10,NA,69.7083333333333,2.00416666666667,1043.04166666667,NA,0.0866666666666667,0.170833333333333,1.35416666666667,"Winter","No Holiday","Yes",3501
"11",2017-12-11,-6.26666666666667,39.375,3.60833333333333,1991.16666666667,-17.9833333333333,0.292083333333333,NA,0,"Winter","No Holiday","Yes",5896
"12",2017-12-12,-9.46666666666667,42.7916666666667,2.03333333333333,1966.79166666667,-19.9375,0.283333333333333,0,0,"Winter","No Holiday","Yes",5544
"13",2017-12-13,NA,41.1666666666667,1.7875,1954.125,-19.8791666666667,NA,0,0,"Winter","No Holiday","Yes",6067
"14",2017-12-14,NA,42.5416666666667,0.8875,1617.16666666667,NA,0.154166666666667,0,NA,"Winter","No Holiday","Yes",6446
"15",2017-12-15,-3.27916666666667,50.4583333333333,0.983333333333333,1000.20833333333,-12.325,0.100416666666667,0,0,"Winter","No Holiday","Yes",7246
"16",2017-12-16,-5.2875,46.3333333333333,2.95416666666667,1514.875,NA,NA,0,0,"Winter","No Holiday","Yes",4680
"17",2017-12-17,-7.0125,37.625,NA,1989.625,-19.275,0.27125,NA,NA,"Winter","No Holiday","Yes",3824
"18",2017-12-18,NA,77,1.18333333333333,629.5,-5.55,0.0691666666666667,0.141666666666667,2.4875,"Winter","No Holiday","Yes",2668
"19",2017-12-19,NA,NA,2.17083333333333,1661.20833333333,-13.0208333333333,NA,0,2.31666666666667,"Winter","No Holiday","Yes",4382
"20",2017-12-20,NA,NA,1.1125,1404.70833333333,-10.0041666666667,0.14,0.00833333333333333,2.0125,"Winter","No Holiday","Yes",4616
"21",2017-12-21,NA,73.0833333333333,1.21666666666667,730.375,NA,0.25625,NA,1.62083333333333,"Winter","No Holiday","Yes",5782
"22",2017-12-22,NA,67.0833333333333,1,802.75,-2.8375,0.142083333333333,0,0.320833333333333,"Winter","Holiday","Yes",7232
"23",2017-12-23,NA,75.5833333333333,NA,338.625,2.02083333333333,0.136666666666667,0,0,"Winter","No Holiday","Yes",6672
"24",2017-12-24,3.45833333333333,82.7916666666667,NA,359.333333333333,0.708333333333333,NA,NA,0,"Winter","Holiday","Yes",2062
"25",2017-12-25,-2.09166666666667,43.375,2.7,1916.91666666667,-13.2166666666667,0.282083333333333,0,0,"Winter","Holiday","Yes",4014
"26",2017-12-26,-3.26666666666667,43.5833333333333,2.8625,1960.29166666667,-15.3666666666667,0.28,0,0,"Winter","No Holiday","Yes",5653
"27",2017-12-27,-6.99583333333333,31.125,1.95416666666667,1996.5,-21.5708333333333,NA,NA,0,"Winter","No Holiday","Yes",5399
"28",2017-12-28,NA,45.0416666666667,1.35416666666667,1574.79166666667,-13.2958333333333,0.157916666666667,0,0,"Winter","No Holiday","Yes",6642
"29",2017-12-29,2.19583333333333,NA,1.175,523.625,-3.74583333333333,0.16125,0,0,"Winter","No Holiday","Yes",7711
"30",2017-12-30,NA,NA,0.9375,214.291666666667,-2.25416666666667,NA,0.0208333333333333,0,"Winter","No Holiday","Yes",4075
"31",2017-12-31,NA,NA,NA,1120.29166666667,-8.32916666666667,NA,0.05,0.595833333333333,"Winter","Holiday","Yes",3471
"32",2018-01-01,-1.28333333333333,39.3333333333333,1.45416666666667,1894.83333333333,-13.8666666666667,NA,0,0,"Winter","Holiday","Yes",4338
"33",2018-01-02,NA,43.7083333333333,1.76666666666667,1712.20833333333,NA,0.223333333333333,0,0,"Winter","No Holiday","Yes",6494
"34",2018-01-03,-4.47916666666667,NA,2.125,1945.16666666667,-15.8791666666667,NA,0,0,"Winter","No Holiday","Yes",6560
"35",2018-01-04,NA,44.125,1.375,1825.33333333333,NA,0.197083333333333,NA,NA,"Winter","No Holiday","Yes",6501
"36",2018-01-05,NA,48.5416666666667,1.65833333333333,1434.20833333333,-12.3416666666667,NA,0,0,"Winter","No Holiday","Yes",7015
"37",2018-01-06,NA,45.6666666666667,1.47916666666667,1561.83333333333,-13.3833333333333,0.282916666666667,0,0,"Winter","No Holiday","Yes",5228
"38",2018-01-07,-1.20833333333333,43.0833333333333,0.8125,1451.875,-12.4791666666667,0.15625,NA,0,"Winter","No Holiday","Yes",4762
"39",2018-01-08,1.42083333333333,NA,1.75,1148.95833333333,-8.6,NA,0.0375,0.1875,"Winter","No Holiday","Yes",5759
"40",2018-01-09,-3.87083333333333,58.5833333333333,2.975,1495.95833333333,-10.8875,NA,0,0.45,"Winter","No Holiday","Yes",5548
"41",2018-01-10,-7.03333333333333,NA,2.93333333333333,1860.625,-15.2125,0.285416666666667,0.0333333333333333,0.425,"Winter","No Holiday","Yes",4209
"42",2018-01-11,-10.7666666666667,49.875,2.6375,1828.125,-19.3208333333333,0.283333333333333,0,0,"Winter","No Holiday","Yes",4065
"43",2018-01-12,-10.6958333333333,36.1666666666667,1.76666666666667,NA,-23.1708333333333,NA,NA,0,"Winter","No Holiday","Yes",4159
"44",2018-01-13,-4.55833333333333,63.7916666666667,0.845833333333333,1082.75,-10.5916666666667,NA,0.0166666666666667,0.0916666666666667,"Winter","No Holiday","Yes",3551
"45",2018-01-14,NA,65.75,1.0625,667.875,NA,0.189583333333333,0,0,"Winter","No Holiday","Yes",4273
"46",2018-01-15,NA,63.9166666666667,1.47916666666667,639.583333333333,NA,NA,0.00833333333333333,0,"Winter","No Holiday","Yes",6382
"47",2018-01-16,3.27916666666667,NA,0.758333333333333,428.541666666667,NA,0.1,0,0,"Winter","No Holiday","Yes",6753
"48",2018-01-17,NA,NA,1.22916666666667,350.125,-1.87916666666667,0.17375,0,NA,"Winter","No Holiday","Yes",6340
"49",2018-01-18,2.31666666666667,NA,1.875,586.291666666667,-4.6,0.126666666666667,0,0,"Winter","No Holiday","Yes",6431
"50",2018-01-19,1.05416666666667,40.875,1.65416666666667,NA,NA,NA,0,0,"Winter","No Holiday","Yes",7520
"51",2018-01-20,NA,58.4583333333333,1.56666666666667,791.958333333333,-5.09583333333333,0.187916666666667,0,NA,"Winter","No Holiday","Yes",5624
"52",2018-01-21,NA,37.5833333333333,1.13333333333333,1375.75,-13.4708333333333,NA,0,0,"Winter","No Holiday","Yes",5021
"53",2018-01-22,0.441666666666667,NA,1.40833333333333,1294.5,-9.35416666666667,0.0795833333333333,0.1375,0.258333333333333,"Winter","No Holiday","Yes",4551
"54",2018-01-23,-10.9166666666667,44.5416666666667,3.675,1912.04166666667,-21.0708333333333,0.3175,0,0.970833333333333,"Winter","No Holiday","Yes",4029
"55",2018-01-24,NA,30.7916666666667,3.39583333333333,1986.08333333333,-27.75,0.322083333333333,0,0.820833333333333,"Winter","No Holiday","Yes",3202
"56",2018-01-25,NA,33.4166666666667,2.87083333333333,NA,-26.7708333333333,0.303333333333333,0,0.591666666666667,"Winter","No Holiday","Yes",3161
"57",2018-01-26,NA,33.9166666666667,NA,1890.95833333333,-27.2291666666667,0.277916666666667,0,0.429166666666667,"Winter","No Holiday","Yes",2979
"58",2018-01-27,-10.4291666666667,38.2916666666667,1.53333333333333,1794.54166666667,-22.3,NA,0,0.183333333333333,"Winter","No Holiday","Yes",2741
"59",2018-01-28,-6.03333333333333,34.7083333333333,2.625,1928.16666666667,NA,0.265833333333333,0,0,"Winter","No Holiday","Yes",2876
"60",2018-01-29,-8.525,36.25,2.72083333333333,1946.08333333333,-21.15,NA,NA,0,"Winter","No Holiday","Yes",4136
"61",2018-01-30,-5.9125,58.6666666666667,1.25416666666667,NA,-13.3375,0.225416666666667,NA,0.808333333333333,"Winter","No Holiday","Yes",3408
"62",2018-01-31,-2.1875,57.1666666666667,1.7125,1545.70833333333,-10.3833333333333,NA,0,2.7,"Winter","No Holiday","Yes",3878
"63",2018-02-01,-3.86666666666667,NA,1.60833333333333,1923.625,-15.0125,NA,0,0.904166666666667,"Winter","No Holiday","Yes",5425
"64",2018-02-02,NA,48.7083333333333,1.64166666666667,1667.29166666667,NA,0.30375,NA,0,"Winter","No Holiday","Yes",6002
"65",2018-02-03,-6.61666666666667,48.9166666666667,3.79583333333333,1678.75,-16.125,0.56875,0.0208333333333333,0.0916666666666667,"Winter","No Holiday","Yes",3338
"66",2018-02-04,NA,41,3.0625,1828.375,-20.6666666666667,0.56875,0,0,"Winter","No Holiday","Yes",2535
"67",2018-02-05,-9.4,37.9583333333333,3.06666666666667,1975.29166666667,-21.5291666666667,NA,NA,0,"Winter","No Holiday","Yes",3980
"68",2018-02-06,-10.0083333333333,35.5416666666667,3.17916666666667,1956.08333333333,-22.575,0.58875,NA,0,"Winter","No Holiday","Yes",4036
"69",2018-02-07,-8.325,40,1.61666666666667,1831,-20.3583333333333,0.557916666666667,NA,0,"Winter","No Holiday","Yes",4745
"70",2018-02-08,-4.5875,44.75,NA,1643.875,-15.5083333333333,0.54375,0,0,"Winter","No Holiday","Yes",5661
"71",2018-02-09,-0.0541666666666667,42.4583333333333,1.09583333333333,1181.58333333333,-11.8041666666667,0.273333333333333,0,0,"Winter","No Holiday","Yes",6316
"72",2018-02-10,NA,49.75,3.06666666666667,1094.45833333333,-10.9458333333333,0.392083333333333,0,0,"Winter","No Holiday","Yes",4473
"73",2018-02-11,-5.9875,40.5416666666667,2.7,NA,-17.7791666666667,0.510833333333333,0,0,"Winter","No Holiday","Yes",2898
"74",2018-02-12,-5.9875,NA,2.775,NA,-17.8958333333333,NA,0,0,"Winter","No Holiday","Yes",4861
"75",2018-02-13,NA,53.8333333333333,2.64166666666667,1950.375,NA,0.571666666666667,0,0,"Winter","No Holiday","Yes",6315
"76",2018-02-14,NA,53.7916666666667,NA,1380.54166666667,NA,NA,NA,0,"Winter","No Holiday","Yes",6819
"77",2018-02-15,NA,27.75,NA,NA,-17.4291666666667,0.6,0,0,"Winter","Holiday","Yes",3532
"78",2018-02-16,-1.0875,40.5,2.09166666666667,1877.25,NA,NA,NA,0,"Winter","Holiday","Yes",2641
"79",2018-02-17,NA,26.875,2.72083333333333,1973.33333333333,-19.9916666666667,0.658333333333333,0,NA,"Winter","Holiday","Yes",3166
"80",2018-02-18,-0.679166666666667,26.5,1.2875,1985.58333333333,-18.0291666666667,0.4675,0,0,"Winter","No Holiday","Yes",4610
"81",2018-02-19,NA,46.5,NA,1269.29166666667,-8.7375,0.42,0,0,"Winter","No Holiday","Yes",7652
"82",2018-02-20,NA,44.9166666666667,2.45416666666667,1267.95833333333,-11.8208333333333,0.565,0,NA,"Winter","No Holiday","Yes",8003
"83",2018-02-21,-0.916666666666667,30,2.3375,1972.125,-17.4333333333333,0.636666666666667,0,0,"Winter","No Holiday","Yes",7539
"84",2018-02-22,0.991666666666667,56,NA,NA,-6.8625,0.39375,0,0,"Winter","No Holiday","Yes",7760
"85",2018-02-23,3.95,NA,1.91666666666667,249.791666666667,NA,NA,0.170833333333333,NA,"Winter","No Holiday","Yes",5845
"86",2018-02-24,2.7625,52.6666666666667,2.3125,963,-7.45416666666667,0.545416666666667,0,0,"Winter","No Holiday","Yes",6404
"87",2018-02-25,1.91666666666667,39.2916666666667,1.79583333333333,1694.875,-11.1666666666667,NA,NA,0,"Winter","No Holiday","Yes",6548
"88",2018-02-26,2.725,NA,1.36666666666667,1324.625,-8.76666666666667,NA,0,0,"Winter","No Holiday","Yes",9295
"89",2018-02-27,4.00833333333333,47,0.9,872.166666666667,-6.34166666666667,0.119166666666667,NA,0,"Winter","No Holiday","Yes",8910
"90",2018-02-28,NA,NA,2.10416666666667,640,-0.5875,0.07125,NA,0,"Winter","No Holiday","Yes",3868
"91",2018-03-01,NA,64.2083333333333,NA,1084,NA,0.7475,0.104166666666667,NA,"Spring","Holiday","Yes",5180
"92",2018-03-02,-1.14583333333333,36.375,1.64166666666667,1679.29166666667,NA,0.792916666666667,0,0,"Spring","No Holiday","Yes",8481
"93",2018-03-03,7.17916666666667,33.5416666666667,1.59583333333333,1712.91666666667,-9.09166666666667,0.751666666666667,0,0,"Spring","No Holiday","Yes",12239
"94",2018-03-04,9.83333333333333,89,1.22916666666667,582.625,8.00833333333333,0.163333333333333,0.104166666666667,0,"Spring","No Holiday","Yes",4736
"95",2018-03-05,6.0375,NA,1.91666666666667,1838.08333333333,NA,NA,0.520833333333333,0,"Spring","No Holiday","Yes",8645
"96",2018-03-06,NA,49.4583333333333,1.54583333333333,1816.33333333333,-6.58333333333333,NA,NA,0,"Spring","No Holiday","Yes",12051
"97",2018-03-07,6.19166666666667,50.6666666666667,NA,1873.625,-3.6125,0.448333333333333,0,0,"Spring","No Holiday","Yes",11218
"98",2018-03-08,NA,77.7916666666667,2.03333333333333,826.25,0.975,NA,0.1875,0,"Spring","No Holiday","Yes",7759
"99",2018-03-09,4.60416666666667,62.0416666666667,1.5125,1083.66666666667,-2.3,NA,0,0,"Spring","No Holiday","Yes",11690
"100",2018-03-10,4.35416666666667,65.0416666666667,1.95,980.833333333333,-2.0625,0.685416666666667,0,NA,"Spring","No Holiday","Yes",11112
"101",2018-03-11,6.6125,53.3333333333333,1.94166666666667,945.125,-3.88333333333333,0.754583333333333,0,NA,"Spring","No Holiday","Yes",11891
"102",2018-03-12,7.7875,44.4583333333333,1.4,812.791666666667,-3.8,NA,0,0,"Spring","No Holiday","Yes",13387
"103",2018-03-13,NA,59.25,1.725,973.791666666667,3.64166666666667,0.590416666666667,0,0,"Spring","No Holiday","Yes",16011
"104",2018-03-14,16.775,NA,2.2625,1774.95833333333,8.59166666666667,0.644166666666667,0,0,"Spring","No Holiday","Yes",19228
"105",2018-03-15,13,91.2916666666667,2.0125,613.791666666667,11.425,0.06125,1.125,0,"Spring","No Holiday","Yes",6275
"106",2018-03-16,7.35416666666667,50.0416666666667,NA,1989.5,-2.97083333333333,0.881666666666667,NA,0,"Spring","No Holiday","Yes",15325
"107",2018-03-17,6.38333333333333,47.9166666666667,1.59583333333333,1659.04166666667,NA,NA,0,NA,"Spring","No Holiday","Yes",15437
"108",2018-03-18,NA,53.8333333333333,NA,845.625,-1.01666666666667,NA,0,0,"Spring","No Holiday","Yes",9657
"109",2018-03-19,8.02083333333333,68.75,2.37916666666667,1316.5,2.22083333333333,NA,NA,0,"Spring","No Holiday","Yes",9016
"110",2018-03-20,5.04166666666667,40.5833333333333,3.45833333333333,1996.79166666667,-7.28333333333333,0.598333333333333,0,0,"Spring","No Holiday","Yes",11563
"111",2018-03-21,2.12916666666667,59.625,1.75,1783.875,-5.65833333333333,0.255416666666667,0.0416666666666667,0,"Spring","No Holiday","Yes",7432
"112",2018-03-22,4.85,62.25,2.22916666666667,1232.875,-2.6625,0.852083333333333,NA,0,"Spring","No Holiday","Yes",14055
"113",2018-03-23,6.075,57.2083333333333,1.9375,800.083333333333,-2.69166666666667,0.795,0,0,"Spring","No Holiday","Yes",15017
"114",2018-03-24,7.47916666666667,NA,2.20416666666667,448.25,-0.179166666666667,0.639583333333333,NA,0,"Spring","No Holiday","Yes",12291
"115",2018-03-25,9.625,65.8333333333333,NA,264.166666666667,2.79166666666667,0.796666666666667,0,0,"Spring","No Holiday","Yes",11255
"116",2018-03-26,10.8,NA,1.99166666666667,NA,NA,0.794166666666667,0,0,"Spring","No Holiday","Yes",13268
"117",2018-03-27,13.0833333333333,60.25,1.6,490.583333333333,NA,0.665833333333333,0,NA,"Spring","No Holiday","Yes",14778
"118",2018-03-28,13.9666666666667,NA,2.1875,871.166666666667,7.2625,NA,0,0,"Spring","No Holiday","Yes",17409
"119",2018-03-29,15.5458333333333,66.7916666666667,NA,539.416666666667,8.90416666666667,0.619166666666667,0,0,"Spring","No Holiday","Yes",17522
"120",2018-03-30,NA,NA,1.77916666666667,906.416666666667,4.6125,0.83375,0,0,"Spring","No Holiday","Yes",19396
"121",2018-03-31,NA,NA,1.89583333333333,1230.75,3.94166666666667,NA,0,0,"Spring","No Holiday","Yes",19337
"122",2018-04-01,15.1833333333333,68.9166666666667,1.57083333333333,831.833333333333,9.37083333333333,0.302083333333333,0,0,"Spring","No Holiday","Yes",17325
"123",2018-04-02,18.2166666666667,65.5416666666667,2.00416666666667,1099.45833333333,11.2125,0.589166666666667,0,0,"Spring","No Holiday","Yes",21697
"124",2018-04-03,17.9583333333333,70.2916666666667,2.1125,1157.625,12.2791666666667,0.286666666666667,0,0,"Spring","No Holiday","Yes",20886
"125",2018-04-04,13.7375,70.0833333333333,1.825,1555.75,NA,0.815,0.775,NA,"Spring","No Holiday","Yes",20124
"126",2018-04-05,7.79583333333333,87.3333333333333,1.9875,1145.95833333333,5.575,0.0895833333333333,NA,0,"Spring","No Holiday","Yes",2264
"127",2018-04-06,NA,74.0416666666667,3.0375,848.458333333333,1.57916666666667,NA,0.291666666666667,0,"Spring","No Holiday","Yes",11794
"128",2018-04-07,4.20833333333333,NA,4,1597.95833333333,-7.2375,0.76,0.00833333333333333,0,"Spring","No Holiday","Yes",11250
"129",2018-04-08,3.8125,56.9583333333333,1.73333333333333,1578.91666666667,-4.8625,0.330416666666667,0.125,0,"Spring","No Holiday","Yes",6586
"130",2018-04-09,NA,60.2916666666667,1.05,926,-1.72083333333333,0.896666666666667,0,0,"Spring","No Holiday","Yes",19418
"131",2018-04-10,NA,46.9583333333333,3.43333333333333,1625.41666666667,NA,0.73,NA,0,"Spring","No Holiday","Yes",16259
"132",2018-04-11,12.8666666666667,53.375,3.00833333333333,NA,NA,1.03583333333333,0,NA,"Spring","Holiday","No",552
"133",2018-04-12,NA,32.4166666666667,2.575,1885.75,-4.64166666666667,1.02333333333333,0,0,"Spring","No Holiday","Yes",22798
"134",2018-04-13,14.2916666666667,22.25,1.4,NA,-7.51666666666667,0.528333333333333,0,0,"Spring","No Holiday","Yes",23427
"135",2018-04-14,9.5875,75.1666666666667,1.82916666666667,1388.79166666667,4.46666666666667,0.145416666666667,0.375,0,"Spring","No Holiday","Yes",6839
"136",2018-04-15,9.4125,67.7083333333333,NA,1301.125,3.42083333333333,0.720416666666667,NA,0,"Spring","No Holiday","Yes",10181
"137",2018-04-16,11.4291666666667,43.875,1.6,1836.66666666667,-1.53333333333333,1.03291666666667,0,0,"Spring","No Holiday","Yes",23348
"138",2018-04-17,NA,36.9166666666667,1.8125,1622.04166666667,-2.13333333333333,1.00125,0,0,"Spring","No Holiday","Yes",22294
"139",2018-04-18,12.3791666666667,35.4166666666667,1.94166666666667,1497.79166666667,NA,NA,0,0,"Spring","No Holiday","Yes",21723
"140",2018-04-19,13.7875,37.5416666666667,1.925,1163.29166666667,NA,NA,0,0,"Spring","No Holiday","Yes",17811
"141",2018-04-20,18.0625,45.7916666666667,1.32083333333333,789.708333333333,NA,0.945,NA,0,"Spring","No Holiday","Yes",22795
"142",2018-04-21,18.6625,NA,1.82916666666667,NA,-0.129166666666667,1.08916666666667,NA,0,"Spring","No Holiday","Yes",24571
"143",2018-04-22,16.0333333333333,NA,1.06666666666667,1578.91666666667,5.45833333333333,0.212083333333333,NA,0,"Spring","No Holiday","Yes",6155
"144",2018-04-23,9.425,93.7916666666667,2.20833333333333,721.041666666667,8.41666666666667,NA,2.54166666666667,0,"Spring","No Holiday","Yes",1157
"145",2018-04-24,NA,65.2083333333333,1.4125,1938.45833333333,5.2375,NA,0.125,0,"Spring","No Holiday","Yes",20515
"146",2018-04-25,14.2458333333333,38.7916666666667,1.47083333333333,1880.33333333333,-0.808333333333333,NA,0,0,"Spring","No Holiday","Yes",26489
"147",2018-04-26,15.0875,50.0833333333333,NA,1355.66666666667,3.875,0.91125,0,0,"Spring","No Holiday","Yes",25689
"148",2018-04-27,15.575,NA,1.70416666666667,985.75,5.13333333333333,0.954166666666667,0,0,"Spring","No Holiday","Yes",26023
"149",2018-04-28,15.5083333333333,50.5,NA,1153.20833333333,3.875,NA,0,0,"Spring","No Holiday","Yes",25001
"150",2018-04-29,NA,43.125,1.9,1252.70833333333,2.44166666666667,1.02083333333333,NA,0,"Spring","No Holiday","Yes",25176
"151",2018-04-30,18.8333333333333,NA,1.5875,495.333333333333,10.6916666666667,0.864166666666667,0,0,"Spring","No Holiday","Yes",25723
"152",2018-05-01,20.3416666666667,72.7916666666667,1.4375,456.458333333333,15.1208333333333,0.5175,0,0,"Spring","Holiday","Yes",26698
"153",2018-05-02,16.0708333333333,88.9583333333333,1.85833333333333,490.5,14.1458333333333,NA,0.5,0,"Spring","No Holiday","Yes",7245
"154",2018-05-03,11.0166666666667,64.9583333333333,2.78333333333333,1786.20833333333,4.16666666666667,0.5075,0.0416666666666667,0,"Spring","No Holiday","Yes",21338
"155",2018-05-04,NA,46.8333333333333,2.6875,1815.79166666667,NA,1.13583333333333,0,0,"Spring","No Holiday","Yes",26890
"156",2018-05-05,17.7291666666667,46.7916666666667,2.725,1848.75,5.6875,0.9275,NA,0,"Spring","No Holiday","Yes",25338
"157",2018-05-06,NA,84.0416666666667,NA,1222.375,13.975,0.387916666666667,0.916666666666667,0,"Spring","No Holiday","Yes",14649
"158",2018-05-07,18.9916666666667,62.7083333333333,1.20416666666667,1703.91666666667,10.7375,0.7375,0,0,"Spring","No Holiday","Yes",28122
"159",2018-05-08,17.7583333333333,NA,1.70416666666667,1939.16666666667,NA,0.96875,NA,0,"Spring","No Holiday","Yes",26317
"160",2018-05-09,NA,50.0416666666667,1.69583333333333,NA,4.63333333333333,1.11541666666667,0,0,"Spring","No Holiday","Yes",28391
"161",2018-05-10,NA,65.8333333333333,2.25416666666667,1099.95833333333,8.7,1.10541666666667,NA,0,"Spring","No Holiday","No",772
"162",2018-05-11,15.8125,63.5,1.7125,689.458333333333,NA,0.779166666666667,0,0,"Spring","No Holiday","Yes",26835
"163",2018-05-12,14.2208333333333,85.2083333333333,0.983333333333333,425.041666666667,11.4083333333333,0.055,1.3125,0,"Spring","No Holiday","Yes",2365
"164",2018-05-13,15.95,83.625,1.80833333333333,683.166666666667,12.8666666666667,NA,0.0416666666666667,0,"Spring","No Holiday","Yes",26397
"165",2018-05-14,17.7416666666667,72.4166666666667,1.39166666666667,364.208333333333,12.2333333333333,0.799583333333333,NA,0,"Spring","No Holiday","Yes",28024
"166",2018-05-15,22.6875,56.4583333333333,1.07916666666667,790.583333333333,12.7291666666667,0.8825,0,0,"Spring","No Holiday","Yes",28424
"167",2018-05-16,NA,90.6666666666667,1.8,466.791666666667,20.6416666666667,0.0666666666666667,1.85416666666667,0,"Spring","No Holiday","Yes",5920
"168",2018-05-17,21.1375,95.875,1.16666666666667,750.875,20.3666666666667,0.165,3.4375,0,"Spring","No Holiday","Yes",3580
"169",2018-05-18,16.8958333333333,NA,1.30416666666667,1087.54166666667,14.9666666666667,0.235,0.3125,0,"Spring","No Holiday","Yes",16695
"170",2018-05-19,NA,NA,NA,1996.25,5.81666666666667,NA,0,0,"Spring","No Holiday","Yes",31339
"171",2018-05-20,17.0625,NA,1.3875,2000,0.55,0.600833333333333,0,0,"Spring","No Holiday","Yes",27557
